项目,结果,学年,学期,学位,国家,分数制,GPA
Big Data@SFU,Reject,2024,Fall,Master,加拿大,4.0,3.6
Big Data@SFU,Reject,2023,Fall,Master,加拿大,4.0,3.74
Big Data@SFU,Reject,2023,Fall,Master,加拿大,4.0,3.94
Big Data@SFU,Admit,2023,Fall,Master,加拿大,4.0,3.3
Big Data@SFU,Admit,2023,Fall,Master,加拿大,4.0,3.73
Big Data@SFU,Admit,2023,Fall,Master,加拿大,4.0,3.44
Big Data@SFU,Admit,2023,Fall,Master,加拿大,100,90.9
CS MEng@McMaster,Admit,2024,Fall,Master,加拿大,4.0,3.21
CS MEng@McMaster,Admit,2024,Fall,Master,加拿大,4.0,3.85
CS PhD@UofT,Admit,2024,Fall,PhD,加拿大,4.3,3.69
CS PhD@Waterloo,Admit,2023,Fall,PhD,加拿大,4.0,3.68
CS PhD@Waterloo,Reject,2023,Fall,PhD,加拿大,100,91.63
CS PhD@Waterloo,Admit,2023,Fall,PhD,加拿大,100,90.67
CS PhD@Waterloo,Admit,2022,Fall,PhD,加拿大,100,88.42
Cybersecurity@SFU,Admit,2023,Fall,Master,加拿大,4.0,3.95
Cybersecurity@SFU,Admit,2023,Fall,Master,加拿大,100,86.5
Cybersecurity@SFU,Admit,2023,Fall,Master,加拿大,100,91.67
ECE MASc@UofT,Reject,2023,Fall,Master,加拿大,4.0,3.73
ECE Meng (Co-op)@Waterloo,Reject,2024,Fall,Master,加拿大,5.0,4.7
ECE Meng (Co-op)@Waterloo,Reject,2024,Fall,Master,加拿大,100,93.05
ECE Meng (Co-op)@Waterloo,Reject,2024,Fall,Master,加拿大,4.0,3.85
ECE Meng (Co-op)@Waterloo,Reject,2023,Fall,Master,加拿大,4.0,3.74
ECE Meng (Co-op)@Waterloo,默拒,2023,Fall,Master,加拿大,4.0,3.95
ECE Meng (Co-op)@Waterloo,Reject,2023,Fall,Master,加拿大,100,88.8
ECE Meng (Co-op)@Waterloo,Reject,2023,Fall,Master,加拿大,4.0,3.92
ECE Meng (Co-op)@Waterloo,Reject,2023,Fall,Master,加拿大,4.0,3.94
ECE Meng (Co-op)@Waterloo,Reject,2023,Fall,Master,加拿大,4.0,3.73
ECE Meng (Co-op)@Waterloo,Reject,2023,Fall,Master,加拿大,100,86.5
ECE Meng (Co-op)@Waterloo,Reject,2023,Fall,Master,加拿大,100,90.9
ECE Meng (Co-op)@Waterloo,Admit,2023,Fall,Master,加拿大,4.0,3.7
ECE Meng (Co-op)@Waterloo,Admit,2023,Fall,Master,加拿大,100,91.2
ECE Meng (Co-op)@Waterloo,Reject,2023,Fall,Master,加拿大,4.3,3.55
ECE Meng (Co-op)@Waterloo,Reject,2023,Fall,Master,加拿大,4.0,3.73
ECE Meng (Co-op)@Waterloo,Reject,2023,Fall,Master,加拿大,100,90.52
ECE Meng (Co-op)@Waterloo,Reject,2023,Fall,Master,加拿大,4.0,3.3
ECE Meng@UBC,Reject,2024,Fall,Master,加拿大,5.0,4.7
ECE Meng@UBC,Reject,2024,Fall,Master,加拿大,4.3,3.7
ECE Meng@UBC,Reject,2024,Fall,Master,加拿大,4.3,3.7
ECE Meng@UBC,Reject,2023,Fall,Master,加拿大,100,86.5
ECE Meng@UBC,Admit,2023,Fall,Master,加拿大,4.0,3.94
ECE Meng@UBC,Reject,2023,Fall,Master,加拿大,4.0,3.7
ECE Meng@UBC,Reject,2023,Fall,Master,加拿大,4.0,3.74
ECE Meng@UBC,Reject,2023,Fall,Master,加拿大,100,90.52
ECE Meng@UBC,Reject,2023,Fall,Master,加拿大,100,90.9
ECE Meng@UBC,Admit,2023,Fall,Master,加拿大,4.0,3.95
ECE Meng@UBC,Admit,2023,Fall,Master,加拿大,4.0,3.92
ECE Meng@UBC,Reject,2023,Fall,Master,加拿大,4.0,3.5
ECE Meng@UBC,Reject,2023,Fall,Master,加拿大,4.0,3.3
ECE Meng@UBC,Admit,2022,Fall,Master,加拿大,100,90.11
ECE MEng@UofT,Admit,2024,Fall,Master,加拿大,100,93.05
ECE MEng@UofT,Admit,2023,Fall,Master,加拿大,4.0,3.73
ECE MEng@uOttawa,Admit,2024,Fall,Master,加拿大,5.0,4.7
ECE MEng@uOttawa,Admit,2023,Fall,Master,加拿大,4.0,3.73
ECE MEng@uOttawa,Admit,2023,Fall,Master,加拿大,100,87.6
