项目,结果,学年,学期,学位,国家,分数制,GPA
Cyber Security@ETH,Admit,2024,Fall,Master,瑞士,100,90.28
Cyber Security@ETH,Admit,2023,Fall,Master,瑞士,100,91.61
EDIC PhD@EPFL,Reject,2023,Fall,PhD,瑞士,4.0,3.88
EDIC PhD@EPFL,Reject,2023,Fall,PhD,瑞士,4.0,3.86
MSCS@EPFL,Admit,2024,Fall,Master,瑞士,100,90.5
MSCS@EPFL,Admit,2024,Fall,Master,瑞士,4.3,4.05
MSCS@EPFL,Admit,2024,Fall,Master,瑞士,100,90.28
MSCS@EPFL,Admit,2024,Fall,Master,瑞士,4.0,3.97
MSCS@EPFL,Reject,2024,Fall,Master,瑞士,100,90.6
MSCS@EPFL,Reject,2024,Fall,Master,瑞士,4.0,3.89
MSCS@EPFL,Reject,2023,Fall,Master,瑞士,4.0,3.92
MSCS@EPFL,Admit,2023,Fall,Master,瑞士,4.3,3.94
MSCS@EPFL,Reject,2023,Fall,Master,瑞士,4.0,3.86
MSCS@EPFL,Admit,2023,Fall,Master,瑞士,100,91.61
MSCS@EPFL,Reject,2023,Fall,Master,瑞士,4.0,3.91
MSCS@EPFL,Admit,2022,Fall,Master,瑞士,100,89.28
MSCS@ETH,Admit,2024,Fall,Master,瑞士,4.0,3.97
MSCS@ETH,Admit,2024,Fall,Master,瑞士,100,90.28
MSCS@ETH,Reject,2024,Fall,Master,瑞士,100,90.5
MSCS@ETH,Reject,2024,Fall,Master,瑞士,100,90.6
MSCS@ETH,Reject,2024,Fall,Master,瑞士,100,94.25
MSCS@ETH,Reject,2024,Fall,Master,瑞士,4.0,3.89
MSCS@ETH,Reject,2024,Fall,Master,瑞士,4.0,3.92
MSCS@ETH,Reject,2024,Fall,Master,瑞士,4.3,4.05
MSCS@ETH,Admit,2023,Fall,Master,瑞士,4.0,3.92
MSCS@ETH,Admit,2023,Fall,Master,瑞士,4.3,3.94
MSCS@ETH,Admit,2023,Fall,Master,瑞士,4.0,3.96
MSCS@ETH,Admit,2023,Fall,Master,瑞士,100,91.61
MSDS@ETH,Admit,2023,Fall,Master,瑞士,4.0,3.92
