项目,结果,学年,学期,学位,国家,分数制,GPA
1-Year MSCS@Yale,Reject,2024,Fall,Master,美国,100,93.5
1-Year MSCS@Yale,Reject,2024,Fall,Master,美国,5.0,4.62
1-Year MSCS@Yale,Reject,2023,Fall,Master,美国,100,89.7
1-Year MSCS@Yale,Admit,2023,Fall,Master,美国,4.0,3.92
1-Year MSCS@Yale,Reject,2023,Fall,Master,美国,4.3,3.94
1-Year MSCS@Yale,Reject,2023,Fall,Master,美国,4.3,4.09
1-Year MSCS@Yale,Admit,2023,Fall,Master,美国,100,90.3
1-Year MSCS@Yale,Reject,2023,Fall,Master,美国,100,89.61
1-Year MSCS@Yale,Admit,2023,Fall,Master,美国,4.0,3.91
1-Year MSCS@Yale,Reject,2023,Fall,Master,美国,100,90.52
1-Year MSCS@Yale,Reject,2023,Fall,Master,美国,4.0,3.86
1-Year MSCS@Yale,Admit,2023,Fall,Master,美国,4.0,3.94
1-Year MSCS@Yale,Reject,2023,Fall,Master,美国,5.0,4.55
1-Year MSCS@Yale,Admit,2023,Fall,Master,美国,4.0,3.97
1-Year MSCS@Yale,Reject,2023,Fall,Master,美国,4.3,4.1
1-Year MSCS@Yale,Reject,2023,Fall,Master,美国,4.0,3.92
1-Year MSCS@Yale,Reject,2022,Fall,Master,美国,100,88.42
2-Year MSCS@Yale,Reject,2024,Fall,Master,美国,100,94.25
2-Year MSCS@Yale,Reject,2024,Fall,Master,美国,4.0,3.93
2-Year MSCS@Yale,Reject,2024,Fall,Master,美国,100,87.0
2-Year MSCS@Yale,Reject,2024,Fall,Master,美国,4.0,3.95
2-Year MSCS@Yale,Reject,2023,Fall,Master,美国,4.0,3.95
2-Year MSCS@Yale,Reject,2023,Fall,Master,美国,4.0,3.96
2-Year MSCS@Yale,Admit,2023,Fall,Master,美国,4.0,4.0
1-Year MSCS@Yale,Reject,2024,Fall,Master,美国,100,93.5
2-Year MSCS@Yale,Reject,2023,Fall,Master,美国,4.0,3.97
9-Course MSCS@Brandeis,Admit,2023,Fall,Master,美国,4.0,3.3
12-Course MSCS@Brandeis,Admit,2023,Fall,Master,美国,4.0,3.92
CE PhD@NEU,Admit,2023,Fall,PhD,美国,100,91.63
CE@NWU,Admit,2023,Fall,Master,美国,4.0,3.85
CE@NWU,Admit,2023,Fall,Master,美国,4.3,3.75
CE@USC,Admit,2023,Fall,Master,美国,4.3,3.41
CGGT@UPenn,Admit,2023,Fall,Master,美国,4.0,3.82
CGGT@UPenn,Reject,2022,Fall,Master,美国,100,89.28
CIS PhD@UPenn,Reject,2024,Fall,PhD,美国,100,90.1
CIS PhD@UPenn,Reject,2024,Fall,PhD,美国,4.3,3.69
CM@Cornell Tech,Admit,2024,Fall,Master,美国,100,89.1
CM@Cornell Tech,Admit,2024,Fall,Master,美国,100,91.82
CM@Cornell Tech,Admit,2023,Fall,Master,美国,4.0,3.78
CM@Cornell Tech,Admit,2023,Fall,Master,美国,4.3,3.94
CM@Cornell Tech,Reject,2023,Fall,Master,美国,4.0,3.3
CS General@NEU,Admit,2024,Fall,Master,美国,100,93.5
CS General@NEU,Admit,2024,Fall,Master,美国,100,85.14
CS General@NEU,Admit,2024,Fall,Master,美国,4.0,3.92
CS General@NEU,Admit,2024,Fall,Master,美国,100,89.1
CS General@NEU,Admit,2024,Fall,Master,美国,100,84.96
CS General@NEU,Admit,2024,Fall,Master,美国,4.0,3.81
CS General@NEU,Admit,2024,Fall,Master,美国,100,85.97
CS General@NEU,Admit,2024,Fall,Master,美国,4.0,3.5
CS General@NEU,Admit,2024,Fall,Master,美国,5.0,4.33
CS General@NEU,Admit,2024,Fall,Master,美国,100,90.6
CS General@NEU,Admit,2024,Fall,Master,美国,100,86.3
CS General@NEU,Admit,2024,Fall,Master,美国,4.0,3.5
CS General@NEU,Admit,2024,Fall,Master,美国,4.0,3.6
CS General@NEU,Admit,2024,Fall,Master,美国,4.0,3.89
CS General@NEU,Admit,2024,Fall,Master,美国,4.0,3.97
CS General@NEU,Reject,2024,Fall,Master,美国,4.0,3.29
CS General@NEU,Reject,2024,Fall,Master,美国,5.0,4.7
CS General@NEU,Admit,2023,Fall,Master,美国,4.3,3.55
CS General@NEU,Reject,2023,Fall,Master,美国,4.0,3.37
CS General@NEU,Admit,2023,Fall,Master,美国,4.0,3.8
CS General@NEU,Admit,2023,Fall,Master,美国,4.0,3.69
CS General@NEU,Admit,2023,Fall,Master,美国,100,90.9
CS General@NEU,Admit,2023,Fall,Master,美国,4.0,3.48
CS General@NEU,Admit,2023,Fall,Master,美国,4.3,3.97
CS General@NEU,Admit,2023,Fall,Master,美国,4.0,3.84
CS General@NEU,Admit,2023,Fall,Master,美国,100,88.8
CS General@NEU,Admit,2023,Fall,Master,美国,4.0,3.9
CS General@NEU,Admit,2023,Fall,Master,美国,4.3,3.41
CS General@NEU,Reject,2023,Fall,Master,美国,4.3,3.55
CS General@NEU,Admit,2023,Fall,Master,美国,4.0,3.1
CS General@NEU,Admit,2023,Fall,Master,美国,4.0,3.73
CS General@NEU,Admit,2023,Fall,Master,美国,5.0,4.55
CS General@NEU,Reject,2023,Fall,Master,美国,100,86.99
CS General@NEU,Admit,2023,Fall,Master,美国,4.0,3.95
CS General@NEU,Admit,2023,Fall,Master,美国,100,86.5
CS General@NEU,Reject,2023,Fall,Master,美国,100,88.0
CS General@NEU,Admit,2023,Fall,Master,美国,100,92.91
CS General@NEU,Admit,2023,Fall,Master,美国,100,90.52
CS General@NEU,Withdraw,2023,Fall,Master,美国,100,86.5
CS General@NEU,Admit,2023,Fall,Master,美国,4.0,3.3
CS General@NEU,Admit,2023,Fall,Master,美国,4.0,3.74
CS General@NEU,Admit,2022,Fall,Master,美国,100,90.11
CS General@NEU,Admit,2022,Fall,Master,美国,100,88.42
CS General@NEU,Reject,2022,Fall,Master,美国,100,89.28
CS Meng@Cornell,Reject,2024,Fall,Master,美国,4.3,3.7
CS Meng@Cornell,Admit,2024,Fall,Master,美国,100,91.82
CS Meng@Cornell,Admit,2024,Fall,Master,美国,4.0,3.93
CS Meng@Cornell,Admit,2024,Fall,Master,美国,4.0,3.97
CS Meng@Cornell,Reject,2023,Fall,Master,美国,4.3,4.09
CS Meng@Cornell,Reject,2023,Fall,Master,美国,4.0,3.8
CS Meng@Cornell,Reject,2023,Fall,Master,美国,4.0,3.94
CS Meng@Cornell Tech,Admit,2024,Fall,Master,美国,4.0,3.93
CS Meng@Cornell Tech,Waitlist,2024,Fall,Master,美国,4.0,3.83
CS Meng@Cornell Tech,Admit,2023,Fall,Master,美国,4.0,3.8
CS Meng@Cornell Tech,Admit,2023,Fall,Master,美国,4.0,3.94
CS Meng@Cornell Tech,Waitlist,2023,Fall,Master,美国,4.0,3.97
CS Meng@Cornell Tech,Admit,2023,Fall,Master,美国,100,94.48
CS Meng@Cornell Tech,Reject,2023,Fall,Master,美国,100,91.18
CS Meng@Cornell Tech,Reject,2023,Fall,Master,美国,4.0,3.88
CS Meng@Cornell Tech,Reject,2022,Fall,Master,美国,100,90.11
CS Meng@VT,Admit,2023,Fall,Master,美国,4.0,3.3
CS Meng@VT,Admit,2023,Fall,Master,美国,4.3,3.41
CS Meng@VT,Admit,2023,Fall,Master,美国,4.0,3.1
CS PhD@Brown,Reject,2024,Fall,PhD,美国,100,90.1
CS PhD@Brown,Admit,2023,Fall,PhD,美国,4.0,3.82
CS PhD@Columbia,Reject,2023,Fall,PhD,美国,4.0,3.86
CS PhD@Cornell,Reject,2024,Fall,PhD,美国,4.3,3.69
CS PhD@Cornell,Reject,2023,Fall,PhD,美国,4.0,3.86
CS PhD@Cornell,Admit,2023,Fall,PhD,美国,4.0,3.88
CS PhD@Dartmouth,Waitlist,2023,Fall,PhD,美国,100,86.3
CS PhD@JHU,Reject,2024,Fall,PhD,美国,100,90.1
CS PhD@NCSU,Admit,2023,Fall,PhD,美国,4.0,3.12
CS PhD@Notre Dame,Admit,2023,Fall,PhD,美国,100,91.63
CS PhD@NWU,Reject,2024,Fall,PhD,美国,100,90.1
CS PhD@NWU,Admit,2023,Fall,PhD,美国,4.0,3.61
CS PhD@NYU Courant,Admit,2023,Fall,PhD,美国,100,88.42
CS PhD@Purdue,Admit,2024,Fall,PhD,美国,4.3,3.69
CS PhD@Rice,Reject,2024,Fall,PhD,美国,100,90.1
CS PhD@Rice,Reject,2023,Fall,PhD,美国,4.0,3.68
CS PhD@Rice,Admit,2023,Fall,PhD,美国,100,91.63
CS PhD@Rochester,Admit,2023,Fall,PhD,美国,100,91.63
CS PhD@Rutgers,Admit,2024,Fall,PhD,美国,100,85.0
CS PhD@Stanford,Reject,2023,Fall,PhD,美国,4.0,3.86
CS PhD@TAMU,Admit,2023,Fall,PhD,美国,100,91.63
CS PhD@UChicago,Reject,2024,Fall,PhD,美国,100,90.1
CS PhD@UCI,Admit,2023,Fall,PhD,美国,4.0,3.86
CS PhD@UCI,Admit,2023,Fall,PhD,美国,4.0,3.68
CS PhD@UCR,默拒,2024,Fall,PhD,美国,4.0,3.82
CS PhD@UCR,Admit,2023,Fall,PhD,美国,4.0,3.66
CS PhD@UCSB,Admit,2024,Fall,PhD,美国,4.3,3.69
CS PhD@UCSB,Withdraw,2023,Fall,PhD,美国,100,88.42
CS PhD@UCSC,Reject,2024,Fall,PhD,美国,100,90.1
CS PhD@UCSD,Admit,2023,Fall,PhD,美国,4.0,4.0
CS PhD@UCSD,Admit,2023,Fall,PhD,美国,4.0,3.88
CS PhD@UIUC,默拒,2024,Fall,PhD,美国,4.3,3.69
CS PhD@UMich,Reject,2024,Fall,PhD,美国,4.3,3.69
CS PhD@UNC,Admit,2023,Fall,PhD,美国,4.0,3.7
CS PhD@USC,Reject,2024,Fall,PhD,美国,4.0,3.88
CS PhD@UVA,Admit,2023,Fall,PhD,美国,4.0,3.68
CS PhD@UW,Reject,2023,Fall,PhD,美国,100,88.42
CS PhD@Wisc,Reject,2023,Fall,PhD,美国,100,91.63
CS PhD@WUSTL,Reject,2023,Fall,PhD,美国,4.0,3.7
CS PhD@Yale,Reject,2023,Fall,PhD,美国,100,91.63
CS-PMP@Wisc,Reject,2024,Fall,Master,美国,100,94.25
CS-PMP@Wisc,Reject,2024,Fall,Master,美国,4.0,3.94
CS-PMP@Wisc,Reject,2023,Fall,Master,美国,100,86.5
CS-PMP@Wisc,Reject,2023,Fall,Master,美国,5.0,4.43
CS-PMP@Wisc,Reject,2023,Fall,Master,美国,100,87.0
CS-PMP@Wisc,Reject,2023,Fall,Master,美国,4.0,3.83
CS-PMP@Wisc,Reject,2023,Fall,Master,美国,100,88.8
CS-PMP@Wisc,Reject,2023,Fall,Master,美国,4.0,3.85
CS-PMP@Wisc,Reject,2023,Fall,Master,美国,4.0,3.85
CS-PMP@Wisc,Reject,2023,Fall,Master,美国,4.0,3.92
CS-PMP@Wisc,Reject,2023,Fall,Master,美国,100,87.5
CS-PMP@Wisc,Reject,2023,Fall,Master,美国,4.0,3.37
CS-PMP@Wisc,Reject,2023,Fall,Master,美国,4.0,3.92
CS-PMP@Wisc,Admit,2023,Fall,Master,美国,4.0,3.73
CS-PMP@Wisc,Admit,2023,Fall,Master,美国,100,91.63
CS-PMP@Wisc,Admit,2023,Fall,Master,美国,4.0,3.95
CS-PMP@Wisc,Reject,2023,Fall,Master,美国,100,88.8
CS28@USC,Admit,2025,Spring,Master,美国,4.0,3.89
CS28@USC,默拒,2024,Fall,Master,美国,4.0,3.75
CS28@USC,Withdraw,2024,Fall,Master,美国,4.0,3.94
CS28@USC,默拒,2024,Fall,Master,美国,4.0,3.7
CS28@USC,Admit,2024,Fall,Master,美国,4.0,3.83
CS28@USC,Admit,2024,Fall,Master,美国,4.0,3.92
CS28@USC,Admit,2024,Fall,Master,美国,100,91.08
CS28@USC,Admit,2024,Fall,Master,美国,4.0,3.82
CS28@USC,Admit,2024,Fall,Master,美国,100,89.1
CS28@USC,Reject,2024,Fall,Master,美国,5.0,4.33
CS28@USC,Reject,2024,Fall,Master,美国,100,90.6
CS28@USC,Reject,2024,Fall,Master,美国,4.0,3.5
CS28@USC,Admit,2024,Fall,Master,美国,100,85.14
CS28@USC,Admit,2024,Fall,Master,美国,4.0,3.69
CS28@USC,Admit,2024,Fall,Master,美国,100,90.5
CS28@USC,Admit,2024,Fall,Master,美国,4.0,3.85
CS28@USC,Admit,2024,Fall,Master,美国,4.0,3.97
CS28@USC,Admit,2024,Fall,Master,美国,100,91.11
CS28@USC,Admit,2024,Spring,Master,美国,4.0,3.69
CS28@USC,Admit,2024,Spring,Master,美国,4.0,3.8
CS28@USC,Admit,2024,Spring,Master,美国,4.0,3.84
CS28@USC,Admit,2024,Spring,Master,美国,100,87.5
CS28@USC,Admit,2024,Spring,Master,美国,4.0,3.74
CS28@USC,Admit,2024,Spring,Master,美国,英制100,74.0
CS28@USC,Reject,2023,Fall,Master,美国,5.0,4.43
CS28@USC,Reject,2023,Fall,Master,美国,4.0,3.95
CS28@USC,Reject,2023,Fall,Master,美国,4.3,3.41
CS28@USC,Admit,2023,Fall,Master,美国,4.0,3.94
CS28@USC,Admit,2023,Fall,Master,美国,4.0,3.92
CS28@USC,Reject,2023,Fall,Master,美国,4.0,3.85
CS28@USC,Admit,2023,Fall,Master,美国,4.0,3.95
CS28@USC,Admit,2023,Fall,Master,美国,4.0,3.92
CS28@USC,Admit,2023,Fall,Master,美国,100,88.0
CS28@USC,Admit,2023,Fall,Master,美国,其他,27.89
CS28@USC,Admit,2023,Fall,Master,美国,100,86.5
CS28@USC,Admit,2023,Fall,Master,美国,4.3,4.1
CS28@USC,Admit,2023,Fall,Master,美国,100,91.63
CS28@USC,Reject,2023,Fall,Master,美国,4.0,3.98
CS28@USC,Admit,2023,Fall,Master,美国,4.3,3.55
CS28@USC,Admit,2023,Fall,Master,美国,100,92.3
CS28@USC,Admit,2023,Fall,Master,美国,100,88.0
CS28@USC,Admit,2023,Fall,Master,美国,100,90.3
CS28@USC,Admit,2023,Fall,Master,美国,100,89.7
CS28@USC,Admit,2023,Fall,Master,美国,100,94.48
CS28@USC,Admit,2023,Fall,Master,美国,100,91.61
CS28@USC,Admit,2023,Fall,Master,美国,100,92.4
CS28@USC,Admit,2023,Fall,Master,美国,4.0,3.9
CS28@USC,Admit,2023,Fall,Master,美国,4.0,3.9
CS28@USC,Admit,2023,Fall,Master,美国,4.0,3.92
CS28@USC,Admit,2023,Fall,Master,美国,4.0,3.96
CS28@USC,Admit,2023,Fall,Master,美国,4.0,3.83
CS28@USC,Admit,2023,Fall,Master,美国,100,90.9
CS28@USC,Reject,2023,Fall,Master,美国,4.0,3.7
CS28@USC,Admit,2023,Fall,Master,美国,4.3,3.75
CS28@USC,Reject,2022,Fall,Master,美国,100,90.11
CS32 (Artificial Intelligence)@USC,Reject,2024,Fall,Master,美国,100,90.1
CS32 (Artificial Intelligence)@USC,Admit,2024,Fall,Master,美国,4.0,3.82
CS32 (Artificial Intelligence)@USC,Admit,2024,Fall,Master,美国,100,89.1
CS32 (Artificial Intelligence)@USC,Admit,2024,Fall,Master,美国,4.0,3.88
CS32 (Networks)@USC,Reject,2024,Fall,Master,美国,100,84.96
CS32 (Networks)@USC,Admit,2024,Spring,Master,美国,100,87.5
CS32 (Networks)@USC,Reject,2023,Fall,Master,美国,4.0,3.85
