index,项目,结果,学年,学期,学位,国家,分数制,GPA
0,1-Year MSCS@Yale,Reject,2024,Fall,Master,美国,100,93.5
1,1-Year MSCS@Yale,Reject,2024,Fall,Master,美国,5.0,4.62
3,1-Year MSCS@Yale,Reject,2023,Fall,Master,美国,100,89.7
4,1-Year MSCS@Yale,Admit,2023,Fall,Master,美国,4.0,3.92
5,1-Year MSCS@Yale,Reject,2023,Fall,Master,美国,4.3,3.94
6,1-Year MSCS@Yale,Reject,2023,Fall,Master,美国,4.3,4.09
7,1-Year MSCS@Yale,Admit,2023,Fall,Master,美国,100,90.3
8,1-Year MSCS@Yale,Reject,2023,Fall,Master,美国,100,89.61
9,1-Year MSCS@Yale,Admit,2023,Fall,Master,美国,4.0,3.91
10,1-Year MSCS@Yale,Reject,2023,Fall,Master,美国,100,90.52
11,1-Year MSCS@Yale,Reject,2023,Fall,Master,美国,4.0,3.86
12,1-Year MSCS@Yale,Admit,2023,Fall,Master,美国,4.0,3.94
13,1-Year MSCS@Yale,Reject,2023,Fall,Master,美国,5.0,4.55
14,1-Year MSCS@Yale,Admit,2023,Fall,Master,美国,4.0,3.97
15,1-Year MSCS@Yale,Reject,2023,Fall,Master,美国,4.3,4.1
16,1-Year MSCS@Yale,Reject,2023,Fall,Master,美国,4.0,3.92
17,1-Year MSCS@Yale,Reject,2022,Fall,Master,美国,100,88.42
18,2-Year MSCS@Yale,Reject,2024,Fall,Master,美国,100,94.25
19,2-Year MSCS@Yale,Reject,2024,Fall,Master,美国,4.0,3.93
20,2-Year MSCS@Yale,Reject,2024,Fall,Master,美国,100,87.0
21,2-Year MSCS@Yale,Reject,2024,Fall,Master,美国,4.0,3.95
22,2-Year MSCS@Yale,Reject,2023,Fall,Master,美国,4.0,3.95
23,2-Year MSCS@Yale,Reject,2023,Fall,Master,美国,4.0,3.96
24,2-Year MSCS@Yale,Admit,2023,Fall,Master,美国,4.0,4.0
25,1-Year MSCS@Yale,Reject,2024,Fall,Master,美国,100,93.5
26,2-Year MSCS@Yale,Reject,2023,Fall,Master,美国,4.0,3.97
27,9-Course MSCS@Brandeis,Admit,2023,Fall,Master,美国,4.0,3.3
28,12-Course MSCS@Brandeis,Admit,2023,Fall,Master,美国,4.0,3.92
29,AC@IC,Reject,2024,Fall,Master,英国,4.0,3.92
30,AC@IC,Admit,2024,Fall,Master,英国,100,93.5
31,AC@IC,Admit,2024,Fall,Master,英国,100,90.52
32,AC@IC,Reject,2023,Fall,Master,英国,4.0,3.8
33,AC@IC,Reject,2023,Fall,Master,英国,5.0,4.41
34,Big Data@SFU,Reject,2024,Fall,Master,加拿大,4.0,3.6
35,Big Data@SFU,Reject,2023,Fall,Master,加拿大,4.0,3.74
36,Big Data@SFU,Reject,2023,Fall,Master,加拿大,4.0,3.94
37,Big Data@SFU,Admit,2023,Fall,Master,加拿大,4.0,3.3
38,Big Data@SFU,Admit,2023,Fall,Master,加拿大,4.0,3.73
39,Big Data@SFU,Admit,2023,Fall,Master,加拿大,4.0,3.44
40,Big Data@SFU,Admit,2023,Fall,Master,加拿大,100,90.9
41,CE PhD@NEU,Admit,2023,Fall,PhD,美国,100,91.63
42,CE@NWU,Admit,2023,Fall,Master,美国,4.0,3.85
43,CE@NWU,Admit,2023,Fall,Master,美国,4.3,3.75
44,CE@USC,Admit,2023,Fall,Master,美国,4.3,3.41
45,CGGT@UPenn,Admit,2023,Fall,Master,美国,4.0,3.82
46,CGGT@UPenn,Reject,2022,Fall,Master,美国,100,89.28
47,CIS PhD@UPenn,Reject,2024,Fall,PhD,美国,100,90.1
48,CIS PhD@UPenn,Reject,2024,Fall,PhD,美国,4.3,3.69
49,CM@Cornell Tech,Admit,2024,Fall,Master,美国,100,89.1
